"";"fala";"autor";"comentario";"data"
"419";"– Eu não colocarei em votação no Colegiado, porque isso é uma decisão que o Relator acolhe ou não. Porque, se eu abrir esse precedente, também terei que abrir precedente para todos que pedirem...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"420";"– Não, Sr. Presidente, ele fez um requerimento na CPI.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"421";"– Não, só um minutinho.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"422";"Senão, V. Exa. pode requerer indiciar o Zezinho que serve o café aqui para gente, e aí vai ter que votar. Então, todos terão o mesmo direito de fazê-lo. Se eu abrir esse precedente... Essa é uma decisão exclusiva do Relator: o Relator acolhe ou não, como acolheu...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"423";"– Qualquer requerimento é deliberado, Sr. Presidente.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"424";"– ... dá licença –, como acolheu antecipadamente outras sugestões dadas.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"425";"– A questão é que qualquer requerimento deve ser deliberado. Esse é o devido processo, Presidente.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"426";"– Não, não, não. Isso não é requerimento. É pedido de...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"427";"– É, ele apresentou um requerimento.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"428";"– Não, não, não.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"429";"– Apenas para esclarecer...";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"430";"– Sr. Presidente, eu já acolhi o encaminhamento sugerido pelo Senador Alessandro.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"431";"– Sr. Presidente...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"432";"– Eu lamento que a Constituição esteja sendo violentada neste momento, Sr. Presidente.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"433";"– Isso é um absurdo! Isso é um absurdo!";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC";"26/10/2021"
"434";"– Sr. Presidente!";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"435";"– Esse é mais um abuso de autoridade...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"436";"– O Senador Renan devia incluir, então, o nome dele também como a 80ª autoridade...";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC. Pela ordem.";"26/10/2021"
"437";"– Esse é mais um abuso de autoridade cometido por esta CPI.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"438";"– ... porque o senhor tentou construir uma narrativa desde o primeiro dia. Se o senhor está dizendo que ele construiu uma narrativa lá de trás, o senhor também construiu para condenar o Presidente Bolsonaro. Então, o senhor tinha que ser indiciado também.";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC";"26/10/2021"
"439";"– Agora, o Governador que falou com criminoso, que se comunicou com criminoso está no relatório apontado como indiciado? Carlos Gabas, o chefe do ""Quadrilhão"", está?";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"440";"– Presidente, aí já é discussão.";"Randolfe Rodrigues";"PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"441";"– Essa discussão se dará no momento da discussão, me parece.";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"442";"– Aí já é discussão.";"Randolfe Rodrigues";"PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"443";"– Sr. Presidente...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"444";"– Então, vamos aguardar...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"445";"– Só um minutinho, só um minutinho.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"446";"– Espero que o Brasil veja até o final, para ver se quem conversou e tem diálogos interceptados com criminoso famoso no Brasil vai estar no relatório final. Quero ver.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"447";"– Senador Marcos Rogério, Senador Girão e Senadores, a questão de eu colocar em votação: eu também estou abrindo um precedente para todas as sugestões que forem dadas daqui para a frente – eu tenho que votá-las.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"448";"– É a inclusão de um Senador, Presidente.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"449";"– Não, mas veja bem...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"450";"– De um Senador colega desta CPI, membro da CPI.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"451";"– Calma, isso aí...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"452";"– Já tem outros. Já tem outros incluídos.";"Humberto Costa";"Bloco Parlamentar da Resistência Democrática/PT - PE. Fora do microfone.";"26/10/2021"
"453";"– Além das imunidades que ele tem, garantidas na Constituição, ainda há uma que é o fato de ele ser membro desta CPI – membro desta CPI!";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"454";"– Reiterou a todo...";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.";"26/10/2021"
"455";"– Membro desta CPI!";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"456";"– Sr. Presidente...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"457";"– Estudei, não ""reiterou"". E mostro as provas. Mostro as provas, Renan! Mostre as tuas, que eu mostro as minhas.";"Luis Carlos Heinze";"Bloco Parlamentar Unidos pelo Brasil/PP - RS";"26/10/2021"
"458";"– Sr. Presidente...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"459";"– Mostro os 284 trabalhos que eu estou mostrando aqui na CPI. Mostro os 130...";"Luis Carlos Heinze";"Bloco Parlamentar Unidos pelo Brasil/PP - RS";"26/10/2021"
"460";"– Mostre. Eu tenho as provas. Eu estou mostrando para vocês.";"Luis Carlos Heinze";"Bloco Parlamentar Unidos pelo Brasil/PP - RS";"26/10/2021"
"461";"– Senador Girão, por favor.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"462";"– Rapidamente, Sr. Presidente. Eu lhe peço assim... Eu faço um apelo ao senhor, ao Senador Renan Calheiros, ao Senador Randolfe Rodrigues. Eu sei que os nervos estão aflorados aqui há seis meses, mas é um momento de desfecho – é um momento de desfecho. Eu acredito que uma medida radical como esta passa um claro recibo de revanchismo, de perseguição.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.";"26/10/2021"
"463";"E vou além: quem tem moral aqui para falar como arauto da ciência se, no dia em que vieram médicos fazer o contraponto, se retiraram, não pisaram aqui nesta CPI?! Está na história desta CPI!";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.";"26/10/2021"
"464";"Então, é uma covardia! E me desculpem, vou pedir para incluir essa palavra. Não se faz isso! Já estão colocando Parlamentares com crimes que não estão nem inscritos aí ou de que existe previsão no Código Penal. Estão colocando Parlamentares por crime de opinião! Deputados Federais. Onde é que nós vamos parar colocando agora um colega que tem convicção, que trouxe pesquisas, que participou de quase todas as sessões, porque ele veio aqui hoje à sessão fazer um voto em separado que bateu forte?! Eu acho que a gente precisa... Não pode dar essa, essa... Aí é um final totalmente melancólico...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.";"26/10/2021"
"465";"– Sr. Presidente, logo que possível, pela ordem.";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"466";"– ... dentro desta CPI.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"467";"Eu quero fazer esse apelo, Presidente, para que a gente não se desmoralize assim – todos nós – aqui neste processo. Por favor!";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"468";"– Eu tenho sempre uma conduta: o uso de adjetivos deve ser bastante bem avaliado. Então, se alguém, pessoalmente, se acha sem moral para alguma coisa, é problema desse alguém. Eu sei o que estou fazendo, não estou aqui para brincadeira.";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE. Pela ordem.";"26/10/2021"
"469";"– O senhor estava aqui, Senador Alessandro?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"470";"– Esta situação...";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"471";"– O senhor estava aqui no dia em que os médicos vieram?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"472";"– Acompanhei online. O senhor bem sabe, foi numa sexta-feira, eu não estava aqui na cidade de Brasília.";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"473";"– É, pois o senhor devia ter feito perguntas...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"474";"– Sr. Presidente, Sr. Presidente...";"Otto Alencar";"PSD - BA";"26/10/2021"
"475";"– ... também. O senhor não é dono da ciência!";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"476";"– Sr. Presidente, Sr. Presidente...";"Otto Alencar";"PSD - BA";"26/10/2021"
"477";"– Não, ninguém é dono...";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"478";"– O senhor não é dono da ciência!";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"479";"– Girão, por favor, vamos tentar ser minimamente adultos na sala!";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"480";"– Vamos, vamos tentar!";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"481";"– O Senador Luis Carlos Heinze foi alertado várias vezes. Eu já representei o Senador no Conselho de Ética, mas veja que estamos em andamento numa sessão...";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"482";"– Agora, a CPI...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"483";"– Por favor, Senador Marcos Rogério. Daqui a pouco, o senhor faz o seu show.";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"484";"– A CPI agora...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"485";"– Aguarde só um instante!";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"486";"– Alertar Senador?! É censor de Senador?!";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"487";"– Apresentamos um requerimento, uma sugestão ao Sr. Relator. O Sr. Relator fez o acatamento. Após a apresentação do último voto em separado, terá a leitura do voto final, definitivo do Senador Renan, e teremos a etapa de discussão. E esse assunto será objeto de discussão. E, como bem disseram V. Exas., Senador Marcos Rogério, Senador Girão, eu não sou dono da verdade. Eu não sou dono da verdade. Não é essa a minha pretensão. A minha pretensão é ter um parâmetro só para que se saiba que quem dissemina notícias falsas no tocante à saúde pública ataca a saúde dos brasileiros! Esse é o centro do que estamos fazendo aqui no tocante ao Presidente da República! E a regra que vale lá vale cá!";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"488";"– E é o senhor que sabe o que é notícia falsa?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"489";"– Sabe o que é Colegiado? O senhor conhece o que é Parlamento?";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"490";"– E é o senhor que sabe o que é notícia falsa?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"491";"– O Parlamento decide por maioria. É uma democracia ainda o Brasil! Se o senhor não sabe...";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"492";"– Democracia, mas ninguém é dono da verdade...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"493";"– Eu vou...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"494";"– Presidente...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"495";"– Em democracia, se decide pelo voto! Ora...";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"496";"– É o senhor que diz o que é notícia falsa?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"497";"– Presidente...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"498";"– Esperem aí... Srs. Senadores, por favor. Nós teremos ainda... Aqui tem 10, 14, 18 Senadores e Senadoras inscritas. Se a gente colocar 15 minutos para cada um, nós teremos aí um debate longo, em que todos terão oportunidade de se posicionar. Agora, eu vou ouvir o Senador Renan. Após ouvi-lo, eu abro para a discussão. Depois da discussão, eu vou votar os relatórios, o relatório do Senador Renan. Então, deixem-me dizer. Eu quero aqui fazer uma proposta aos Senadores e Senadoras que vou colocar em votação. São 15 minutos para cada Senador na discussão, para Senador ou Senadora. Eu quero propor para a gente reduzir pelo número de Senadores inscritos aqui. Está bom dez minutos?";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"499";"– Gente, aguenta-se ouvir tanta coisa aqui e vamos reduzir para 10? Não, 15 minutos.";"Otto Alencar";"PSD - BA";"26/10/2021"
"500";"– Não, 15 mais cinco era o voto em separado, Senador.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"501";"A discussão será 15 minutos ou 10, conforme...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"502";"Está bom, vamos lá. Esse não é um debate que vai...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"503";"Vou comunicar ao Presidente...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"504";"V. Exa., Senador, conversou com o Senador Rodrigo Pacheco ontem?";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"505";"– Conversamos e informamos da possibilidade de se estender a reunião para além do horário regimental da Ordem do Dia.";"Randolfe Rodrigues";"PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"506";"– Então, eu pedi a ele que não abrisse a Ordem do Dia enquanto a gente não terminasse a votação desse relatório, para nós terminarmos hoje. Então, pelo visto, nós vamos ter aí um longo dia aqui.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"507";"Vou passar a palavra ao Senador Renan Calheiros.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"508";"– Sr. Presidente, Senador Omar Aziz, Sras. Senadoras, Srs. Senadores, conforme compromisso que assumimos por ocasião da leitura do nosso relatório aqui na última reunião desta Comissão Parlamentar de Inquérito, eu queria comunicar que todos os acréscimos sugeridos, compatíveis com a investigação, com as provas, com os indícios, foram acolhidos pelo Relator.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"509";"Para facilitar a exposição, eu quero começar exatamente pela alteração com relação à proposta legislativa.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"510";"Nós fizemos um acréscimo, porque a criação do memorial já foi aprovada, já é uma resolução do Senado Federal. Esse é um acréscimo. E nós recebemos uma proposta legislativa que dispõe sobre o crime de genocídio, define os crimes contra a humanidade, os crimes de guerra e os crimes contra a administração da Justiça do Tribunal Penal Internacional, institui normas processuais específicas, dispõe sobre a cooperação com o Tribunal Penal Internacional e dá outras providências. Essa proposta acolhida foi do Senador Randolfe Rodrigues, e nós elencamos agora, ao final, ""regulamenta o crime de genocídio na legislação brasileira"". É uma proposta que vai, evidentemente, tramitar.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"511";"Com relação aos indiciados, eu queria dizer que vários Senadores tiveram aqui, nesta Comissão Parlamentar de Inquérito, atuação de destaque e muito contribuíram para os indiciamentos que constam deste relatório. Nós agradecemos, mais uma vez, a todos, titulares, suplentes, integrantes da Bancada Feminina e outros que participaram igualmente e não eram sequer integrantes da própria Comissão Parlamentar de Inquérito.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"512";"Cumpre destacar também a importância do trabalho dos órgãos técnicos do Senado Federal, Senador Omar, em especial da Consultoria Legislativa, da Consultoria de Orçamentos, da Advocacia-Geral, da Diretoria-Geral, da assessoria dos gabinetes dos Relatores, dos Senadores também. Registramos, ainda, o empenho e dedicação dos servidores da Polícia Federal, do Tribunal de Contas da União, da Receita Federal e do Banco Central nas investigações desta Comissão Parlamentar de Inquérito e na produção deste relatório. Eu queria repetir: este relatório é um relatório feito a várias mãos, e acho que principalmente por isso a grande repercussão que ele teve nacionalmente e até internacionalmente.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"513";"Nós agradecemos ainda, Senador Omar Aziz, as contribuições valiosas dos juristas Miguel Reale Júnior, Sylvia Steiner, Helena Regina Lobo da Costa, Alexandre Wunderlich, do Grupo Prerrogativas, coordenado pelo jurista Marco Aurélio de Carvalho, dos pesquisadores da USP, coordenados pela Professora Deisy de Freitas Lima Ventura, e da Ordem dos Advogados do Brasil.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"514";"Em face de todo o exposto, esta Comissão Parlamentar de Inquérito, dados os limites da própria investigação parlamentar, a sua competência e os elementos probatórios colhidos, sugere os seguintes indiciamentos, que inclui tanto crimes quanto ilícitos civis e administrativos, todos baseados na existência de indício suficiente de autoria e materialidade, conforme se pode verificar pelas provas documentais.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"515";"Neste momento, será apresentado o resumo dos crimes praticados pelos indiciados, esclarecendo que a descrição de condutas típicas individualizadas e a respectiva subjunção aos tipos penais já foram feitas nos itens 13.3 a 13.25.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"516";"Me permita sugerir só os nomes, eu não vou citar os indiciamentos mais uma vez. Tão logo se aprove o relatório, nós vamos disponibilizá-lo na Comissão Parlamentar de Inquérito e nas redes sociais.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"517";"- Primeiro indiciado: Jair Messias Bolsonaro;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"518";"- Segundo: Eduardo Pazuello;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"519";"- Marcelo Antônio Queiroga Lopes, Ministro da Saúde;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"520";"- Onyx Dornelles Lorenzoni, ex-Ministro da Cidadania e atual Ministro-Chefe da Secretaria da Presidência da República;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"521";"- Ernesto Henrique Fraga Araújo, ex-Ministro das Relações Exteriores;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"522";"- Wagner de Campos Rosário, Ministro-Chefe da Controladoria-Geral da República;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"523";"- Antônio Elcio Franco Filho, ex-Secretário-Executivo do Ministério da Saúde;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"524";"- Mayra Isabel Correia Pinheiro, Secretária de Gestão do Trabalho e da Educação na Saúde;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"525";"- Roberto Ferreira Dias, ex-Diretor de Logística do Ministério da Saúde;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"526";"- Cristiano Alberto Carvalho, representante da Davati no Brasil;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"527";"- Luiz Paulo Dominguetti Pereira, representante da Davati no Brasil;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"528";"- Rafael Francisco Carmo Alves, intermediador nas tratativas da Davati;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"529";"- José Odilon Torres da Silveira Júnior, intermediador nas tratativas da Davati;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"530";"- Marcelo Blanco da Costa, ex-Assessor do Departamento de Logística do Ministério da Saúde e intermediador nas tratativas da Davati;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"531";"- Emanuela Batista de Souza Medrades, Diretora-Executiva e responsável técnica farmacêutica da empresa Precisa;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"532";"- Túlio Silveira, consultor jurídico da empresa;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"533";"- Airton Antonio Soligo, ex-Assessor Especial do Ministério da Saúde;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"534";"- Francisco Emerson Maximiano, sócio, dono da empresa Precisa;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"535";"- Danilo Trento, sócio da empresa Primarcial Holding e Participações;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"536";"- Marcos Tolentino da Silva, advogado e sócio oculto do FIB Bank;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"537";"- Ricardo José Magalhães Barros, Deputado Federal;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"538";"- Flávio Bolsonaro, Senador da República;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"539";"- Eduardo Bolsonaro, Deputado Federal;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"540";"- Bia Kicis, Deputada Federal;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"541";"- Carla Zambelli, Deputada Federal;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"542";"- Carlos Bolsonaro, Vereador da cidade do Rio de Janeiro;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"543";"- Osmar Gasparini Terra, Deputado Federal;";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.";"26/10/2021"
"544";"- Fabio Wajngarten, ex-Chefe da Secretaria Especial de Comunicação Social do Governo Federal;";"Renan Calheiros";"Secom";"26/10/2021"
"545";"- Nise Yamaguchi, médica participante do gabinete paralelo, com presença também nos estudos e nos experimentos da Prevent Senior;";"Renan Calheiros";"Secom";"26/10/2021"
"546";"- Arthur Weintraub, ex-Assessor da Presidência da República e participante do gabinete paralelo;";"Renan Calheiros";"Secom";"26/10/2021"
"547";"- Carlos Wizard Martins, empresário e também participante ativo do governo paralelo;";"Renan Calheiros";"Secom";"26/10/2021"
"548";"- Paolo Marinho de Andrade Zanotto, biólogo e participante do gabinete paralelo;";"Renan Calheiros";"Secom";"26/10/2021"
"549";"- Antônio Jordão de Oliveira Neto, biólogo, participante do governo paralelo e representante da entidade Médicos pela Vida;";"Renan Calheiros";"Secom";"26/10/2021"
"550";"- Luciano Dias Azevedo, médico e participante do gabinete paralelo;";"Renan Calheiros";"Secom";"26/10/2021"
"551";"- Mauro Luiz de Brito Ribeiro, Presidente do Conselho Federal de Medicina;";"Renan Calheiros";"Secom";"26/10/2021"
"552";"- Walter Souza Braga Netto, Ministro da Defesa, ex-Ministro-Chefe da Casa Civil e ex-coordenador do Comitê da Pandemia;";"Renan Calheiros";"Secom";"26/10/2021"
"553";"- Allan Lopes dos Santos, blogueiro suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"554";"- Paulo de Oliveira Eneas, editor do site bolsonarista Crítica Nacional, suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"555";"- Luciano Hang, empresário suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"556";"- Otávio Oscar Fakhoury, empresário suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"557";"- Bernardo Küster, Diretor do jornal Brasil Sem Medo, suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"558";"- Oswaldo Eustáquio, blogueiro suspeito de disseminar fake news e incitação ao crime;";"Renan Calheiros";"Secom";"26/10/2021"
"559";"- Richards Pozzer, artista gráfico suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"560";"- Leandro Ruschel, jornalista suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"561";"- Carlos Jordy, Deputado Federal, incitação ao crime;";"Renan Calheiros";"Secom";"26/10/2021"
"562";"- Filipe Martins, Assessor Especial para Assuntos Internacionais do Presidente da República, incitação ao crime;";"Renan Calheiros";"Secom";"26/10/2021"
"563";"- Tercio Arnaud Tomaz, Assessor Especial da Presidência da República, incitação ao crime;";"Renan Calheiros";"Secom";"26/10/2021"
"564";"- Roberto Goidanich, ex-Presidente da Funag, incitação ao crime, art. 286 do Código Penal;";"Renan Calheiros";"Secom";"26/10/2021"
"565";"- Roberto Jefferson, ex-Deputado Federal, suspeito de disseminar fake news;";"Renan Calheiros";"Secom";"26/10/2021"
"566";"- Helcio Bruno de Almeida, Presidente do Instituto Força Brasil, incitação ao crime;";"Renan Calheiros";"Secom";"26/10/2021"
"567";"- Raimundo Nonato Brasil, sócio da empresa VTCLog;";"Renan Calheiros";"Secom";"26/10/2021"
